अफ़्रीका	África
रामेसेस प्रथम	Ramsés I
मिनेसोटा	Minnesota
बग़दाद	Bagdad
काराकास	Caracas
समन्वित सार्वत्रिक समय	Tiempo universal coordinado
विस्कॉन्सिन	Wisconsin
पुणे	Pune
सिसरो	Marco Tulio Cicerón
एसी मिलान	Associazione Calcio Milan
आयोवा	Iowa
नेब्रास्का	Nebraska
ग्वाटेमाला नगर	Ciudad de Guatemala
केन्सास	Kansas
हवाना	La Habana
तम्बाकू	Tabaco
हिन्दी	Hindi
मराठी भाषा	Idioma maratí
अवास्ट!	Avast!
इण्टरनेट ऍक्सप्लोरर	Internet Explorer
सिगार	Puro
सिगरेट	Cigarrillo
गणेश	Ganesha
मिज़ूरी	Misuri
जॉर्ज साइमन ओम	Georg Simon Ohm
लुईज़ियाना	Luisiana
नागालैण्ड	Nagaland
केन्टकी	Kentucky
अल्फा रोमियो 159	Alfa Romeo 159
आर्कन्सा	Arkansas
उर्दू भाषा	Urdu
ओक्लाहोमा	Oklahoma
डैन्यूब नदी	Danubio
मो फरहा	Mohamed Farah
उत्तरी सागर	Mar del Norte
काइल	Kiel
पॉट्सडैम	Potsdam
हनोवर	Hannover
डसेलडॉर्फ़	Düsseldorf
मैन्ज़	Maguncia
विसबैडेन	Wiesbaden
सारब्रुकेन	Sarrebruck
म्यूनिख	Múnich
समारा ओब्लास्त	Óblast de Samara
अरफ़र्ट	Érfurt
ड्रेसडेन	Dresde
मागदेबुर्ग	Magdeburgo
वालीबॉल	Voleibol
वियना	Viena
मैडोना (मनोरंजनकर्ता)	Madonna
कोपनहेगन	Copenhague
स्टॉकहोम	Estocolmo
हेलसिंकी	Helsinki
मूरमान्स्क ओब्लास्त	Óblast de Múrmansk
डबलिन	Dublín
मूरमान्स्क	Múrmansk
रेक्जाविक	Reikiavik
ताल्लिन	Tallin
रीगा	Riga
ज़ांज़ीबार	Zanzíbar
लुईस आर्मस्ट्रांग	Louis Armstrong
बुडापेस्ट	Budapest
फ़्रैंकफ़र्ट	Fráncfort del Meno
कोच्चि	Cochín
लाञ्थनम	Lantano
प्रोमेथियम	Prometio
खगोलीय इकाई	Unidad astronómica
सैमरियम	Samario
आचे	Aceh
ग्याडोलिनियम	Gadolinio
ज़िनेदिन जिदेन	Zinedine Zidane
टर्बियम	Terbio
कैथोलिक धर्म	Catolicismo
डिस्प्रोसियम	Disprosio
बाइबिल	Biblia
होल्मियम	Holmio
अर्बियम	Erbio
नामपेन्ह	Nom Pen
थुलियम	Tulio
हो ची मिन्ह शहर	Ciudad Ho Chi Minh
यिट्टरबियम	Iterbio
लुटेटियम	Lutecio
हनोई	Hanói
ईसा मसीह सत्य गिरजाघर	Verdadera Iglesia de Jesús
अंग्रेज़ी भाषा	Idioma inglés
बैंकॉक	Bangkok
कुआ लालम्पुर	Kuala Lumpur
ताइपे	Taipéi
आरख़ान्गेल्स्क ओब्लास्त	Óblast de Arcángel
क्यूरियम	Curio
कॉन्सेप्सिओन	Concepción (Chile)
बर्केलियम	Berkelio
राजनय	Diplomacia
आइंस्टीनियम	Einstenio
पेत्रोज़ावोद्स्क	Petrozavodsk
फर्मीयम	Fermio
मेण्डेलीवियम	Mendelevio
कीव	Kiev
नोबेलियम	Nobelio
ओण्टारियो	Ontario
लॉरेंशियम	Lawrencio
कारेलिया गणतंत्र	República de Carelia
ओटावा	Ottawa
शुक्र का वायुमंडल	Atmósfera de Venus
बृहस्पति के प्राकृतिक उपग्रह	Satélites de Júpiter
जुबा	Yuba (Sudán del Sur)
मानिटोबा	Manitoba
अल्बर्टा	Alberta
येरवान	Ereván
कोंस्कोवोला	Końskowola
दार अस सलाम	Dar es-Salam
खार्तूम	Jartum
फ़ॉर्मूला वन	Fórmula 1
शनि के प्राकृतिक उपग्रह	Satélites de Saturno
ब्रिटिश कोलम्बिया	Columbia Británica
२०००	2000
२००३	2003
२००२	2002
२००१	2001
२०१२	2012
२०११	2011
२०१०	2010
२००९	2009
कार्बन डाईऑक्साइड	Dióxido de carbono
२०१३	2013
२०१४	2014
२०१५	2015
२००८	2008
जावास्क्रिप्ट	JavaScript
२००४	2004
२००५	2005
ड्रैगन बॉल	Dragon Ball
२००६	2006
२००७	2007
कार्बन मोनोआक्साइड	Monóxido de carbono
लिनक्स मिण्ट	Linux Mint
वेरोना	Verona
नोटपैड++	Notepad++
१९००	1900
१९०१	1901
चार्ल्स डी गॉल	Charles de Gaulle
१९०२	1902
फ़्लोरेन्स	Florencia
१९०३	1903
१९०४	1904
१९०५	1905
१९०७	1907
१९०६	1906
ए सी एफ फिओरेंटीना	Associazione Calcio Firenze Fiorentina
एचटीएमएल फाइव	HTML5
१९०८	1908
१९०९	1909
१९९२	1992
१९९१	1991
१९९०	1990
१९९३	1993
१९९४	1994
१९९५	1995
१९९६	1996
१९१०	1910
१९११	1911
१९१२	1912
लिपजिग	Leipzig
१९१३	1913
१९१४	1914
१९१५	1915
१९१६	1916
१९९७	1997
१९९८	1998
१९९९	1999
१९१७	1917
१९१८	1918
भोजन	Alimento
साँप	Serpentes
ज़्याक शिराक	Jacques Chirac
प्रकाश का वेग	Velocidad de la luz
एक्स॰एम॰एल॰	Extensible Markup Language
इरुमेशियो	Sexo oral
न्यूट्रिनो	Neutrino
वरुण के प्राकृतिक उपग्रह	Satélites de Neptuno
सन गोकू (ड्रैगन बॉल)	Son Gokū
क्यूबेक नगर	Quebec (ciudad)
१ जनवरी	1 de enero
२ जनवरी	2 de enero
अरुण के प्राकृतिक उपग्रह	Satélites de Urano
सुभाष चन्द्र बोस	Subhas Chandra Bose
१९२०	1920
३ जनवरी	3 de enero
१९१९	1919
१९२१	1921
१९२२	1922
४ जनवरी	4 de enero
१९२३	1923
१९२४	1924
क्षुद्रग्रह घेरा	Cinturón de asteroides
क्यू आर पीडिया	QRpedia
जेपीईजी	Joint Photographic Experts Group
बौना ग्रह	Planeta enano
५ जनवरी	5 de enero
एरिका	Arica
६ जनवरी	6 de enero
इलेक्ट्रॉन	Electrón
७ जनवरी	7 de enero
८ जनवरी	8 de enero
वेलीकी नोव्गोरोड	Nóvgorod
९ जनवरी	9 de enero
१० जनवरी	10 de enero
११ जनवरी	11 de enero
१२ जनवरी	12 de enero
बज़ एल्ड्रिन	Buzz Aldrin
१३ जनवरी	13 de enero
बर्मिंघम	Birmingham
१४ जनवरी	14 de enero
१५ जनवरी	15 de enero
१६ जनवरी	16 de enero
टॉम हैंक्स	Tom Hanks
१७ जनवरी	17 de enero
१८ जनवरी	18 de enero
१९ जनवरी	19 de enero
२० जनवरी	20 de enero
औद्योगिक क्रांति	Revolución Industrial
बेंजीन	Benceno
२१ जनवरी	21 de enero
२२ जनवरी	22 de enero
२३ जनवरी	23 de enero
रोमन साम्राज्य	Imperio romano
२४ जनवरी	24 de enero
२५ जनवरी	25 de enero
मिन्‍स्‍क	Minsk
२६ जनवरी	26 de enero
माइक्रोसॉफ़्ट	Microsoft
२७ जनवरी	27 de enero
२८ जनवरी	28 de enero
२९ जनवरी	29 de enero
३० जनवरी	30 de enero
३१ जनवरी	31 de enero
त्वेर ओब्लास्ट	Óblast de Tver
चक	Chuck (serie de televisión)
प्रोटॉन	Protón
२ दिसम्बर	2 de diciembre
१ दिसम्बर	1 de diciembre
३ दिसम्बर	3 de diciembre
७ दिसम्बर	7 de diciembre
५ दिसम्बर	5 de diciembre
८ दिसम्बर	8 de diciembre
१० दिसम्बर	10 de diciembre
६ दिसम्बर	6 de diciembre
९ दिसम्बर	9 de diciembre
पिंक फ़्लॉइड	Pink Floyd
४ दिसम्बर	4 de diciembre
१ फ़रवरी	1 de febrero
२ फ़रवरी	2 de febrero
३ फ़रवरी	3 de febrero
कुरुफ़	Kurów
४ फ़रवरी	4 de febrero
५ फ़रवरी	5 de febrero
६ फ़रवरी	6 de febrero
७ फ़रवरी	7 de febrero
८ फ़रवरी	8 de febrero
९ फ़रवरी	9 de febrero
१० फ़रवरी	10 de febrero
रसायन शास्त्र	Química
१४ फ़रवरी	14 de febrero
१३ फ़रवरी	13 de febrero
१५ फरवरी	15 de febrero
११ फ़रवरी	11 de febrero
१२ फ़रवरी	12 de febrero
रोबिन वन पेर्सिए	Robin van Persie
१९ फरवरी	19 de febrero
१७ फ़रवरी	17 de febrero
१६ फ़रवरी	16 de febrero
१८ फ़रवरी	18 de febrero
२० फ़रवरी	20 de febrero
विश्लेषी रसायन	Química analítica
न्यूट्रॉन	Neutrón
२१ फ़रवरी	21 de febrero
२२ फ़रवरी	22 de febrero
२३ फ़रवरी	23 de febrero
२४ फ़रवरी	24 de febrero
२५ फ़रवरी	25 de febrero
२६ फरवरी	26 de febrero
२७ फ़रवरी	27 de febrero
२८ फ़रवरी	28 de febrero
११ दिसम्बर	11 de diciembre
२९ फ़रवरी	29 de febrero
१२ दिसम्बर	12 de diciembre
सी शार्प	C Sharp
विज़ुअल बेसिक	Visual Basic
१३ दिसम्बर	13 de diciembre
१४ दिसम्बर	14 de diciembre
१५ दिसम्बर	15 de diciembre
२ मार्च	2 de marzo
३ मार्च	3 de marzo
५ मार्च	5 de marzo
१ मार्च	1 de marzo
७ मार्च	7 de marzo
८ मार्च	8 de marzo
४ मार्च	4 de marzo
१० मार्च	10 de marzo
११ मार्च	11 de marzo
६ मार्च	6 de marzo
१३ मार्च	13 de marzo
९ मार्च	9 de marzo
१२ मार्च	12 de marzo
